reviewer,sentence,rating,sentiment,opinionated
  Billy Duff ," Fewer settings than gen 1, no custom timers.",2,-1,1
  Billy Duff ,Definitely a downgrade.,2,-1,1
  Andy MÕ_ller , So many months since release and hundreds of people begging for timers but still nothing.,1,-1,1
  Andy MÕ_ller ,"No timers, no switch to the new app.",1,-1,1
  Andy MÕ_ller ,Doesn't matter if the old one won't get updates.,1,-1,1
  Andy MÕ_ller ,Make the new one as good as the old first!,1,-1,1
  Brian Moore , Last color needs to be the default on the app.,3,-1,1
  Brian Moore ,I'm changing the color of my bulbs daily as they go back to white each night.,3,-1,1
  Brian Moore ,PLEASE FIX,3,-1,1
  sos prahl , How can you be getting rid of the 1st app.,1,-1,1
  sos prahl ,This one is pure garbage.,1,-1,1
  sos prahl ,Doesn't link without being on home wifi.,1,-1,1
  sos prahl ,No scenes.,1,-1,1
  sos prahl ,Not stable.,1,-1,1
  sos prahl ,Etc.,1,0,0
  June Kitara , Fantastic lights but the app is shocking.,2,-1,1
  June Kitara ,Keep asking me to pair with the hub.,2,-1,1
  David Clarke , Worse than the old app.,1,-1,1
  David Clarke ,Not being able to manipulate multiple lights/rooms in one action/scene make this useless for me.,1,-1,1
  Steve Marsh ," Using an Echo, no issues.",3,1,1
  Praveen Mehta , Good,5,1,1
  Stu R , Remote connection doesn't work.,1,-1,1
  Stu R ,Useless.,1,-1,1
  Clinton Augustin , App works great.,4,1,1
  Clinton Augustin ,Had to manually enter the light bulbs but found them just fine.,4,0,0
  Clinton Augustin ,"Discovered, if you use Alexa, that every time you put in a new bulb you have to go to the Alexa app, smart home, search for devices and hit the button on the bridge for Alexa to control the bulb.",4,-1,1
  Clinton Augustin ,After that works just fine.,4,0,0
  Clinton Augustin ,Love my new light system.,4,1,1
"  Muve Music Media, LLC ", Pretty dope,5,1,1
  Rich Halvorson ," It works,  and I use it but supplement it with other aps.",4,1,1
  Rich Halvorson ,Would be nice if it was updated,4,-1,1
  Johan Sebastian Ortiz Sotelo ," Everything is all good except the light is always goes off in every 5 mins and the notification through the phone is not working properly... fixing it, Please?",3,-1,1
  Cody Ryan , Much improved,4,1,1
  BBk TV , Flakey.,2,-1,1
  BBk TV ,It use to be quite good but it appears no one cares about the app any more.,2,-1,1
  BBk TV ,More often that not it never works without fiddling and farting around with the whole set up every single day.,2,-1,1
  Nuri Yousif , Keeps crashing.,1,-1,1
  Nuri Yousif ,Can't set up anything,1,-1,1
  demond BUCKNER , I love it,5,1,1
  Will Johnson , Some of My Routines constantly disable themselves.,2,-1,1
  Will Johnson ,"I have one set up to turn my lights on at sunset, but it only triggers if I had activated it that same day.",2,-1,1
  Gilbert Ricottta , Awesome,5,1,1
  johneboy78 , I love the lights but the software leaves much to be desired .. 1: Sometimes the app doesn't connect to the Hue bridge  2: Why no brightness control from the widget?,3,-1,1
  johneboy78 ,Why must I go into the app just to adjust the brightness?!,3,-1,1
  johneboy78 ,Just add a brightness slider to the widget damn you!,3,-1,1
  johneboy78 ,"3: Why no function to have the lights slowely fade cycle through a changeable list of colours, like other Philips hue lights?",3,-1,1
  johneboy78 ,"These are all easy things to do Philips, sort it!",3,-1,1
  Matthew Bird ," Good app for the most part, I wouldn't be as willing to slam it as much as other reviewers thanks to recent updates.",1,0,0
  Matthew Bird ,"Location tracking however doesn't work, settings don't save correctly, as soon as you exit the screen it just reverts to it previous state making the feature unusable.",1,-1,1
  Matthew Bird ,The are some infrequent connection errors however restarting the app can often solve these.,1,-1,1
  Matthew Bird ,"Philips you should get on this, compared to iOS support Android is poor.",1,-1,1
  Matthew Bird ,Again many months later there is still no fix in sight...,1,-1,1
  Nicola Shuttleworth , Just gave up on the wemo system and came over to Hue.,5,1,1
  Nicola Shuttleworth ,Wish I'd done it sooner.,5,1,1
  Nicola Shuttleworth ,"This system is much more reliable, easier to set up, and the colour effects are pretty cool.",5,1,1
  Nicola Shuttleworth ,Could it be tweaked?,5,0,0
  Nicola Shuttleworth ,Sure.,5,0,0
  Nicola Shuttleworth ,"For example, it would be great to combine multiple routines into one so you didn't have to reset them all to occur consecutively.",5,-1,1
  Nicola Shuttleworth ,But I'm very very happy with the system as is.,5,1,1
  Jason J Blount , My phone always says out of home connection.,3,-1,1
  Jason J Blount ,Its slow and locks up often could use some help,3,-1,1
  Tom Nicholls , Stick with the (not great) old app until this is overhauled.,4,-1,1
  Tommy Boy , Home & Away function turns on the lights randomly during the night.,1,-1,1
  Tommy Boy ,(Sleep interruption)  Bridge updates are compulsory during which it's impossible to turn lights on (or off).,1,-1,1
  Tommy Boy ,(Accident waiting to happen).,1,-1,1
  Tommy Boy ,Premium priced bulbs with poor software implementation.,1,-1,1
  Lucas Friborg Mitchell , Works the way it's supposed to.,4,1,1
  Lucas Friborg Mitchell ,I don't get all of the negative reviews.,4,1,1
  Lucas Friborg Mitchell ,"I mean sure it's nothing special, but it works, and it's easy to use.",4,1,1
  Lucas Friborg Mitchell ,It's sure as hell alot better than the previous version.,4,1,1
  Johan SvÕ_rd , A few things that can be improved:  App itself seems to have problems maintaining connection to My Hue when shifting between WiFi/mobile connection.,3,-1,1
  Johan SvÕ_rd ,"This causes the app to be caught in limbo, being logged in, but offline, without any option to logout.",3,-1,1
  Johan SvÕ_rd ,"In 'Scenes' there are three presets, these can be altered, but the change is not saved.",3,-1,1
  Johan SvÕ_rd ,The 'Bright' scene is a bit too bright for me.,3,-1,1
  Johan SvÕ_rd ,"Also it would be nice if I could add 'Routines' and other editorial things offline, which then syncs when I open the app at home.",3,-1,1
  Creepypasta gamer freak , FRICKING PURPLE!!!,5,-1,1
  Michael Kielar , The app isn't always turning on my lights when I'm not using my wifi router.,1,-1,1
  Michael Kielar ,On certain nights I can turn the lights on before I even come home.,1,1,1
  Michael Kielar ,On other nights I think I've turned them on but when I come home the house is dark.,1,-1,1
  Tom Ha ," It started well but after a few weeks it has become Very buggy, has lots of crash and isn't working pretty much.",1,-1,1
  Ahmed Ramli , Location aware hasn't worked in close to a year and Philips continues to ignore it....,1,-1,1
  Jimmie Holland , Doesn't look like location is tracking correctly,3,-1,1
  Fuzzy Duckling ," One big mess of an app, doesn't work.",1,-1,1
  Fuzzy Duckling ,"Even if it did I'd still be disappointed, less functionality then the old version.",1,-1,1
  Fuzzy Duckling ,I am so disappointed wish I could return my lights & bridge.,1,-1,1
  Jeff Lott , App has been working much better than at the time of my last review.,1,1,1
  Compton Sarabo , Can't control my lights when I'm out of my home or off of home network.,1,-1,1
  Paul Hegarty , Great system...  5 stars if location aware is fixed,3,1,1
  Chris Green , Works great for me,5,1,1
  Saul Santillan , The app is great.,4,1,1
  Saul Santillan ,It would be way better if it would get Android Wear support.,4,-1,1
  Saul Santillan ,"Control my lights with my watch, that's epic!",4,0,0
  Saul Santillan ,"*Button to toggle firmware update check, please.",4,-1,1
  Justin Harris , Deleted scenes show up again in rooms,1,-1,1
  Jason Hedrick , Many of the features do not work after continuous updates (location aware).,2,-1,1
  Jason Hedrick ,App is not very user friendly.,2,-1,1
  Erick D , Home & Away does not work.,2,-1,1
  Erick D ,It has been an issue since last year and you guys hasn't fixed yet.,2,-1,1
  Erick D ,Shame on you,2,-1,1
  Jean McComb , I love the scenes that can be created from photos .,4,1,1
  Jean McComb ,"however the reason I only gave it 4 stars is because I always get a message saying ""Hue has stopped responding.""",4,-1,1
  Jean McComb ,"This message usually appears after I have used the app,but yesterday it appeared as I was trying to open the app.Not sure why.",4,-1,1
  Ethan Penfold ," The widget seems to hardly ever work, it always says it isn't connected to the bridge yet when I launch the app; connects instantly",4,-1,1
  Christian Gunn ," Lobe the lights, but app Doesn't allow you to log in to use location settings.",3,-1,1
  Christian Gunn ,Would like to add a light to more than one room.,3,-1,1
  John Wade , Can't make green anymore or teal just goes white and out of house connection doesn't work,2,-1,1
  Marcus Urban , App keeps crashing.,1,-1,1
  Marcus Urban ,Cannot link to my bridge.,1,-1,1
  Janus Phoenix , Where the piss are the brightness controls?,2,-1,1
  Brandon Boscia , Old app was better.,2,-1,1
  Brandon Boscia ,No timer randomization in this one.,2,-1,1
  Brandon Boscia ,"Also you can't define your own scenes, it's only bright, dim, or nightlight.",2,-1,1
  Brandon Boscia ,What if I want two of four lights on?,2,-1,1
  Brandon Boscia ,What if my nightlight should only be one bulb not three?,2,-1,1
  Andy Guy , A good app.,4,1,1
  Andy Guy ,"For the most part, very easy to use, and does most of what I want of it.",4,1,1
  Andy Guy ,My only request would be more and better widgets.,4,-1,1
  Andy Guy ,"A switch, that mirrors the functionality of the Hue dinner would be a great start...",4,-1,1
  Jeri Anderson , Just awful.,1,-1,1
  Jeri Anderson ,"You spend 50 dollars a light bulb, and you get an app from a high school students science fair project.",1,-1,1
  Jeri Anderson ,You can't add multiple lights to the same group.,1,-1,1
  Jeri Anderson ,"You get an error stating that a group name already exists when attempting to recreate a group, and then you don't even have the ability to delete it.",1,-1,1
  Jeri Anderson ,Just ridicules..,1,-1,1
  Dale Edwards ," I like the app and the new grouping by room but if an update is available for the hub, the app prevents you from controlling your lights.",2,-1,1
  Dale Edwards ,Luckily alexa doesn't care.,2,0,0
  Dale Edwards ,Another issue is that there is no save button for the geofence setting and it always takes two attempts to connect.,2,-1,1
  Dale Edwards ,"I have to open the app and it just sits there saying ""connecting..."" then i have to close it and re-open it and it connects instantly.",2,-1,1
  Dale Edwards ,The really annoying thing is these bugs have been present for months.,2,-1,1
  Dale Edwards ,Why is this app not being fixed?,2,-1,1
  Alfa Wolf , This takes a lot and a lot of storage!,1,-1,1
  Leanne Collins , Coming home feature doesn't seem to work anymore on this version of the app.,2,-1,1
  Leanne Collins ,App needs improvements,2,-1,1
  David Kha ," After about 10 months of the gen 2 app, the Home & Away feature has yet to work.",3,-1,1
  David Kha ,Is it ever going to be fixed?,3,-1,1
  David Kha ,"Although it is finally being addressed, how much longer will it be before it actually becomes usable?",3,-1,1
  David Kha ,"Other than the Home & Away issue, the app works great with occasional hiccups.",3,0,0
  Jackson Holbrook ," The app is great, except it doesn't offer a quick toggle.",4,0,0
  Jackson Holbrook ,Being able to toggle and control my lights from the lock screen would make this app almost perfect.,4,0,0
  Jeffrey Smith , Really happy with this.,5,1,1
  Jeffrey Smith ,Have 6 rooms and 40 lights connected.,5,0,0
  Jeffrey Smith ,Piece of cake.,5,1,1
  Jeffrey Smith ,Used previously S7; Currently Moto X... All versions worked flawlessly.,5,1,1
  deadha3 ," People, you need the Phillips bridge to connect your light to the app",4,-1,1
  Xclusive One , Thanks,5,-1,0
  Josh Winiarski , Half the time I can't connect to my lights.,2,-1,0
  Josh Winiarski ,I can't control the sensitivity of my motion sensor.,2,-1,1
  Josh Winiarski ,The location awareness doesn't work.,2,-1,1
  Josh Winiarski ,The advertised features of the color bulbs syncing with music and movies is false.,2,-1,1
  Josh Winiarski ,There are better third party apps out there.,2,-1,1
  Shannon Mitchells , Awesome app However it could use MORE,5,1,1
  Greg Crichton , Really bizarre inconsistent interface.,2,-1,1
  Greg Crichton ,Strange regressions and omissions from the previous Hue app by Philips.,2,-1,1
  Greg Crichton ,On the whole an intriguing UX that I will persevere with but with trepidation.,2,0,0
  Patrick Mehaffy , The app sort of works now.,4,0,0
  Patrick Mehaffy ,"It's barebones compared to the paid options, but it works.",4,-1,1
  Patrick Mehaffy ,"If all you want are some presets and a widget to load them, this will do it and it's free.",4,0,0
  Patrick Mehaffy ,"If you want more, wait for the big update or use hue pro.",4,0,0
  Patrick Mehaffy ,Home tracking feature has been broken for months.,4,-1,1
  Jeremy Howey ," My app can never find the Philips Hue Bridge, so I can't use my lights properly, so very expensive for something I can't use... a bit frustrating =/",1,-1,1
  Aaron Snider , Quick set up and easy to use for what I wanted to do with it.,5,1,1
  Aaron Snider ,4 can lights in a room with 10 foot ceiling made a dramatic effect,5,0,0
  Casey Connor , What a waste.,1,-1,1
  Casey Connor ,I bought these lights because they are supposed to turn on even I come home bit this function does not work!,1,-1,1
  Casey Connor ,I will be returning these overpriced bulbs and buying motion lights because they actually do that they advertise,1,-1,1
  Daniel Tryba ," Unbelievable, this version just got worse.",1,-1,1
  Daniel Tryba ,"Next to lacking critical functionalities that are in v1, this version just fails to connect to the bridge even when entering the ip manually.",1,-1,1
  Gulnur Yazgin ," Its a good app but it is stupid that if there is an update available, you cant use your hue lamps because ""you need to update""!",4,-1,1
  Gulnur Yazgin ,How logical is it?,4,-1,1
  Gulnur Yazgin ,I need my lamps but there is no postpone option so you are forcing me to update the app to use my lamps!,4,-1,1
  Gulnur Yazgin ,Im sorry but this is low level of thinking the users!,4,-1,1
  Samuel James Sampson , It's a nice app to use but I have  2  problems which prevent me using it sometimes 1 of them is being unable to connect to the bridge via app but other app work great and 2 app crashes are unreal 12 times in the past few days  maybe and issue regard my android version I'm not sure but I hope this get a fixed soon,3,-1,1
  don ski , has anyone had a problem with this update as my google home doesn't work well with this?,2,-1,1
  don ski ,keeps crashing when i ask it to turn on my lights.,2,-1,1
  don ski ,but google works just fine until i ask it to turn on a light?,2,-1,1
  Hieu Do , Can't set up accessories.,2,-1,1
  Hieu Do ,Just crashes when I am trying to setup up the dimmer switch.,2,-1,1
  Patrick Carroll , Waiting patiently for the home and away to work otherwise seems to function properly,3,1,1
  Fillet Gava—ç , Dont understand the low rating.,5,0,0
  Fillet Gava—ç ,"Been using it for two years already, without a single problem.",5,1,1
  Gareth Leech ," Less diversity than the old app, and the widget doesn't work with the nougat Android update.",2,-1,1
  Gareth Leech ,"Location aware does NOT work, and considering the price of the light bulbs you would think that Philips would ensure their app would work.",2,-1,1
  Gareth Leech ,More disappointment from Philips hue.,2,-1,1
  Philipp Wetzler , Very unreliable and slow connection to hub.,2,-1,1
  Nathan Lawson , Location aware for geofencing has been broken for 6 months now and is a known issue.,2,-1,1
  Nathan Lawson ,Still not fixed.,2,-1,1
  Nathan Lawson ,Until then 2 stars.,2,-1,1
  L Moorefield , I ditto not sure why tune low rating.. very easy to use.,5,1,1
  L Moorefield ,I like it!,5,1,1
  John Deas ," Love the app, I just which they would allow the widget to turn on and off a specific light instead of making me create a different room for each light I would like to operate.",4,1,1
  John Deas ,Once widget controls individual lights 5/5!,4,1,1
  John Deas ,Still recommend Philips Hue to friends!,4,1,1
  Eric Guillaume , You have to accept that you're an early user and that is still buggy.,3,0,0
  Eric Guillaume ,"On a regular basis connections get lost, then reappear without reason.",3,-1,1
  Eric Guillaume ,The extra motion sensor is great but the hub sometimes gets confused by the  motion sensor activated routines,3,-1,1
  Dan Watt ," Two of my three new lights will not connect to my bridge, no matter what I do.",1,-1,0
  Felipe Vancim , Location is not working.,1,-1,1
  Bobby Barua , First purchase of the Hue and it's a lovely product.,4,1,1
  Bobby Barua ,The Hue app itself seems fine but it appears you can't combine the same bulbs for more than one room configuration which is a pity.,4,0,0
  Bobby Barua ,Still I love the Hue.,4,1,1
  Bobby Barua ,Combining with other Android apps for Hue adds nice variety to just using the Hue app alone.,4,1,1
  Bobby Barua ,Works with my Samsung Galaxy S6.,4,1,1
  Bobby Barua ,Philips seems to advertise more of the Apple / iOS connection and not much about Android which for me was a bummer as it took lots of time to research to find out if it would in fact work with my Galaxy S6 and Android generally.,4,-1,1
  Bobby Barua ,Philips should try and make the connectivity to Android more clear.,4,-1,1
  Bobby Barua ,A big chunk of us in the market are not Apple friends and prefer Android.,4,0,0
  Bobby Barua ,On the whole love Hue!,4,1,1
  Brian West , Does not link to bridge on Galaxy s7 edge.,3,-1,1
  Brian West ,I had to use a Lenovo tablet to get it set up.,3,-1,1
  Rob Whitten , Some how they manage to create a new app and make it worse than the first bad app.,1,-1,1
  Rob Whitten ,Constantly disconnecting and logging out.,1,-1,1
  Rob Whitten ,Response time is slow and causing me to toggle lights back on and off and having to wait for up to 10 seconds before I see something.,1,-1,1
  Rob Whitten ,Why can't you create scenes across rooms?,1,-1,1
  Rob Whitten ,I want to control individual lights per room and scenes across rooms.,1,0,0
  Rob Whitten ,Better control of individual lights but too many steps required to get to them.,1,0,0
  Rob Whitten ,Update: the login issues have been improved still has delays especially when using the widget.,1,-1,1
  Rob Whitten ,Please fix the location aware feature.,1,-1,1
  Rob Whitten ,It constantly shuts off when you back out of the settings.,1,-1,1
  jaimie tejeda , The My Hue feature NEVER works.,1,-1,1
  jaimie tejeda ,"It is in a permanent offline state, even though it says I'm logged in.",1,-1,1
  jaimie tejeda ,The 1st generation app is miles better from a feature functionality standpoint.,1,-1,1
  jaimie tejeda ,MAKE THIS APP WORK CORRECTLY!,1,-1,1
  barry pena , Great app simple gets the job done pairs great with echo dot,5,1,1
  Stephanie Dufour , Not worth buying.,2,-1,1
  Stephanie Dufour ,"The app is very glitchy and lately I keep getting ""app not responding"" errors this is incredibly frustrating.",2,-1,1
  Robby Borge ," Horrible interface, too many taps to change the lights.",1,-1,1
  Robby Borge ,"It should be as easy as flipping a switch, not trying to figure out how to swipe out of a circle to find the setting you actually wanted.",1,-1,1
  Alex Spirov , No hue connection way too often!,1,-1,1
  Alex Spirov ,Why?,1,0,0
  Alex Spirov ,Always when I reboot my phone I'm unable to connect and control my lights.,1,-1,1
  Alex Spirov ,"Considering the price of those bulbs, it is terrible.",1,-1,1
   , I wish you could set a default color for each/or all lights for everytime they are reset or turned on instead of the yellowish 2800k.,4,-1,1
  Cid Homer Imperial Pneulemen , The location aware feature does not work.,3,-1,1
  Cid Homer Imperial Pneulemen ,It keeps turning off the moment I navigate away from the interface for location aware.please fix.,3,-1,1
  Eli Baker , I love how Phillips is a high-tech company but you still need a hub that costs another $60 to connect your phone to a light bulb.,1,1,1
  Eli Baker ,If anyone read this please consider buying a lifx bulb color 1000.,1,0,0
  Nick Pandher , Still using gen 1 app.,2,0,0
  Nick Pandher ,Need to build a focus group of actual users and start again.,2,-1,1
  Nick Pandher ,This is so painful to see being done so wrong.,2,-1,1
  Nick Pandher ,Great hardware ruined by a terrible app.,2,-1,1
